Features,Validation Report,Validation ROC AUC,Test Report,Test ROC AUC
"['SMA5_At_Entry', 'SMA7_At_Entry', 'EMA5_At_Entry', 'EMA7_At_Entry', 'RSI5_At_Entry', 'RSI10_At_Entry', 'ATR5_At_Entry', 'ATR15_At_Entry', 'Stoch5_K_At_Entry', 'Stoch7_D_At_Entry', 'BB5_High_At_Entry', 'BB5_Low_At_Entry', 'BB5_MAvg_At_Entry', 'BB15_High_At_Entry', 'BB15_Low_At_Entry', 'BB15_MAvg_At_Entry', 'Open', 'High', 'Low', 'Last', 'MACD_At_Entry', 'Day_Of_Week_At_Entry', 'ROC14_At_Entry']","{'0.0': {'precision': 0.5213849287169042, 'recall': 0.5638766519823789, 'f1-score': 0.5417989417989417, 'support': 454.0}, '1.0': {'precision': 0.5448275862068965, 'recall': 0.5021186440677966, 'f1-score': 0.5226019845644982, 'support': 472.0}, 'accuracy': 0.5323974082073434, 'macro avg': {'precision': 0.5331062574619003, 'recall': 0.5329976480250878, 'f1-score': 0.53220046318172, 'support': 926.0}, 'weighted avg': {'precision': 0.5333341018651508, 'recall': 0.5323974082073434, 'f1-score': 0.532013883683761, 'support': 926.0}}",0.5329976480250878,"{'0.0': {'precision': 0.4979253112033195, 'recall': 0.5206073752711496, 'f1-score': 0.5090137857900318, 'support': 461.0}, '1.0': {'precision': 0.503370786516854, 'recall': 0.48068669527896996, 'f1-score': 0.4917672886937432, 'support': 466.0}, 'accuracy': 0.5005393743257821, 'macro avg': {'precision': 0.5006480488600867, 'recall': 0.5006470352750598, 'f1-score': 0.5003905372418875, 'support': 927.0}, 'weighted avg': {'precision': 0.5006627346079657, 'recall': 0.5005393743257821, 'f1-score': 0.5003440256531704, 'support': 927.0}}",0.5006470352750598
"['SMA5_At_Entry', 'SMA7_At_Entry', 'EMA5_At_Entry', 'EMA7_At_Entry', 'RSI5_At_Entry', 'RSI10_At_Entry', 'ATR5_At_Entry', 'ATR15_At_Entry', 'Stoch5_D_At_Entry', 'Stoch7_K_At_Entry', 'BB5_High_At_Entry', 'BB5_Low_At_Entry', 'BB5_MAvg_At_Entry', 'BB15_High_At_Entry', 'BB15_Low_At_Entry', 'BB15_MAvg_At_Entry', 'Open', 'High', 'Low', 'Last', 'MACD_At_Entry', 'Day_Of_Week_At_Entry', 'ROC14_At_Entry']","{'0.0': {'precision': 0.5246913580246914, 'recall': 0.5616740088105727, 'f1-score': 0.5425531914893618, 'support': 454.0}, '1.0': {'precision': 0.5477272727272727, 'recall': 0.510593220338983, 'f1-score': 0.5285087719298246, 'support': 472.0}, 'accuracy': 0.5356371490280778, 'macro avg': {'precision': 0.536209315375982, 'recall': 0.5361336145747779, 'f1-score': 0.5355309817095932, 'support': 926.0}, 'weighted avg': {'precision': 0.5364332065555968, 'recall': 0.5356371490280778, 'f1-score': 0.5353944808715415, 'support': 926.0}}",0.5361336145747779,"{'0.0': {'precision': 0.5063291139240507, 'recall': 0.5206073752711496, 'f1-score': 0.5133689839572192, 'support': 461.0}, '1.0': {'precision': 0.5121412803532008, 'recall': 0.4978540772532189, 'f1-score': 0.5048966267682263, 'support': 466.0}, 'accuracy': 0.5091693635382956, 'macro avg': {'precision': 0.5092351971386258, 'recall': 0.5092307262621842, 'f1-score': 0.5091328053627228, 'support': 927.0}, 'weighted avg': {'precision': 0.509250871805371, 'recall': 0.5091693635382956, 'f1-score': 0.5091099565029897, 'support': 927.0}}",0.5092307262621844
"['SMA5_At_Entry', 'SMA7_At_Entry', 'EMA5_At_Entry', 'EMA7_At_Entry', 'RSI5_At_Entry', 'RSI10_At_Entry', 'ATR5_At_Entry', 'ATR15_At_Entry', 'Stoch5_D_At_Entry', 'Stoch21_D_At_Entry', 'BB10_High_At_Entry', 'BB10_Low_At_Entry', 'BB10_MAvg_At_Entry', 'BB15_High_At_Entry', 'BB15_Low_At_Entry', 'BB15_MAvg_At_Entry', 'Open', 'High', 'Low', 'Last', 'MACD_At_Entry', 'Day_Of_Week_At_Entry', 'ROC14_At_Entry']","{'0.0': {'precision': 0.5222672064777328, 'recall': 0.5682819383259912, 'f1-score': 0.5443037974683544, 'support': 454.0}, '1.0': {'precision': 0.5462962962962963, 'recall': 0.5, 'f1-score': 0.5221238938053098, 'support': 472.0}, 'accuracy': 0.5334773218142549, 'macro avg': {'precision': 0.5342817513870146, 'recall': 0.5341409691629956, 'f1-score': 0.533213845636832, 'support': 926.0}, 'weighted avg': {'precision': 0.5345152954565254, 'recall': 0.5334773218142549, 'f1-score': 0.5329982742189407, 'support': 926.0}}",0.5341409691629956,"{'0.0': {'precision': 0.504149377593361, 'recall': 0.527114967462039, 'f1-score': 0.5153764581124072, 'support': 461.0}, '1.0': {'precision': 0.5101123595505618, 'recall': 0.4871244635193133, 'f1-score': 0.49835345773874856, 'support': 466.0}, 'accuracy': 0.5070118662351673, 'macro avg': {'precision': 0.5071308685719613, 'recall': 0.5071197154906761, 'f1-score': 0.5068649579255778, 'support': 927.0}, 'weighted avg': {'precision': 0.5071469499688255, 'recall': 0.5070118662351673, 'f1-score': 0.5068190490788312, 'support': 927.0}}",0.5071197154906761
"['SMA5_At_Entry', 'SMA7_At_Entry', 'EMA5_At_Entry', 'EMA7_At_Entry', 'RSI5_At_Entry', 'RSI10_At_Entry', 'ATR5_At_Entry', 'ATR15_At_Entry', 'Stoch7_K_At_Entry', 'Stoch21_K_At_Entry', 'BB10_High_At_Entry', 'BB10_Low_At_Entry', 'BB10_MAvg_At_Entry', 'BB15_High_At_Entry', 'BB15_Low_At_Entry', 'BB15_MAvg_At_Entry', 'Open', 'High', 'Low', 'Last', 'MACD_At_Entry', 'Day_Of_Week_At_Entry', 'ROC14_At_Entry']","{'0.0': {'precision': 0.5295358649789029, 'recall': 0.552863436123348, 'f1-score': 0.540948275862069, 'support': 454.0}, '1.0': {'precision': 0.5508849557522124, 'recall': 0.527542372881356, 'f1-score': 0.538961038961039, 'support': 472.0}, 'accuracy': 0.5399568034557235, 'macro avg': {'precision': 0.5402104103655576, 'recall': 0.540202904502352, 'f1-score': 0.5399546574115539, 'support': 926.0}, 'weighted avg': {'precision': 0.5404179069281493, 'recall': 0.5399568034557235, 'f1-score': 0.5399353430140278, 'support': 926.0}}",0.540202904502352,"{'0.0': {'precision': 0.4912663755458515, 'recall': 0.4880694143167028, 'f1-score': 0.48966267682263326, 'support': 461.0}, '1.0': {'precision': 0.4968017057569296, 'recall': 0.5, 'f1-score': 0.49839572192513365, 'support': 466.0}, 'accuracy': 0.49406688241639696, 'macro avg': {'precision': 0.49403404065139056, 'recall': 0.4940347071583514, 'f1-score': 0.49402919937388345, 'support': 927.0}, 'weighted avg': {'precision': 0.4940489687263935, 'recall': 0.49406688241639696, 'f1-score': 0.4940527512754544, 'support': 927.0}}",0.4940347071583514
"['SMA5_At_Entry', 'SMA7_At_Entry', 'EMA5_At_Entry', 'EMA7_At_Entry', 'RSI5_At_Entry', 'RSI10_At_Entry', 'ATR5_At_Entry', 'ATR15_At_Entry', 'Stoch7_D_At_Entry', 'Stoch21_K_At_Entry', 'BB5_High_At_Entry', 'BB5_Low_At_Entry', 'BB5_MAvg_At_Entry', 'BB15_High_At_Entry', 'BB15_Low_At_Entry', 'BB15_MAvg_At_Entry', 'Open', 'High', 'Low', 'Last', 'MACD_At_Entry', 'Day_Of_Week_At_Entry', 'ROC14_At_Entry']","{'0.0': {'precision': 0.5204081632653061, 'recall': 0.5616740088105727, 'f1-score': 0.5402542372881356, 'support': 454.0}, '1.0': {'precision': 0.5435779816513762, 'recall': 0.5021186440677966, 'f1-score': 0.5220264317180616, 'support': 472.0}, 'accuracy': 0.531317494600432, 'macro avg': {'precision': 0.5319930724583412, 'recall': 0.5318963264391847, 'f1-score': 0.5311403345030986, 'support': 926.0}, 'weighted avg': {'precision': 0.5322182650776442, 'recall': 0.531317494600432, 'f1-score': 0.5309631744057652, 'support': 926.0}}",0.5318963264391847,"{'0.0': {'precision': 0.48625792811839325, 'recall': 0.49891540130151846, 'f1-score': 0.4925053533190578, 'support': 461.0}, '1.0': {'precision': 0.4911894273127753, 'recall': 0.47854077253218885, 'f1-score': 0.4847826086956522, 'support': 466.0}, 'accuracy': 0.4886731391585761, 'macro avg': {'precision': 0.4887236777155843, 'recall': 0.48872808691685365, 'f1-score': 0.488643981007355, 'support': 927.0}, 'weighted avg': {'precision': 0.48873697733584964, 'recall': 0.4886731391585761, 'f1-score': 0.48862315375648285, 'support': 927.0}}",0.48872808691685365
"['SMA5_At_Entry', 'SMA7_At_Entry', 'EMA5_At_Entry', 'EMA7_At_Entry', 'RSI5_At_Entry', 'RSI15_At_Entry', 'ATR5_At_Entry', 'ATR15_At_Entry', 'Stoch5_K_At_Entry', 'Stoch7_K_At_Entry', 'BB5_High_At_Entry', 'BB5_Low_At_Entry', 'BB5_MAvg_At_Entry', 'BB15_High_At_Entry', 'BB15_Low_At_Entry', 'BB15_MAvg_At_Entry', 'Open', 'High', 'Low', 'Last', 'MACD_At_Entry', 'Day_Of_Week_At_Entry', 'ROC14_At_Entry']","{'0.0': {'precision': 0.5192697768762677, 'recall': 0.5638766519823789, 'f1-score': 0.5406546990496305, 'support': 454.0}, '1.0': {'precision': 0.5427251732101617, 'recall': 0.4978813559322034, 'f1-score': 0.5193370165745858, 'support': 472.0}, 'accuracy': 0.5302375809935205, 'macro avg': {'precision': 0.5309974750432147, 'recall': 0.5308790039572912, 'f1-score': 0.5299958578121081, 'support': 926.0}, 'weighted avg': {'precision': 0.5312254432581229, 'recall': 0.5302375809935205, 'f1-score': 0.5297886665137546, 'support': 926.0}}",0.530879003957291,"{'0.0': {'precision': 0.511578947368421, 'recall': 0.527114967462039, 'f1-score': 0.519230769230769, 'support': 461.0}, '1.0': {'precision': 0.5176991150442478, 'recall': 0.5021459227467812, 'f1-score': 0.5098039215686274, 'support': 466.0}, 'accuracy': 0.5145631067961165, 'macro avg': {'precision': 0.5146390312063345, 'recall': 0.5146304451044101, 'f1-score': 0.5145173453996983, 'support': 927.0}, 'weighted avg': {'precision': 0.5146555365129035, 'recall': 0.5145631067961165, 'f1-score': 0.5144919224016882, 'support': 927.0}}",0.5146304451044101
"['SMA5_At_Entry', 'SMA7_At_Entry', 'EMA5_At_Entry', 'EMA7_At_Entry', 'RSI5_At_Entry', 'RSI15_At_Entry', 'ATR5_At_Entry', 'ATR15_At_Entry', 'Stoch5_K_At_Entry', 'Stoch7_K_At_Entry', 'BB10_High_At_Entry', 'BB10_Low_At_Entry', 'BB10_MAvg_At_Entry', 'BB15_High_At_Entry', 'BB15_Low_At_Entry', 'BB15_MAvg_At_Entry', 'Open', 'High', 'Low', 'Last', 'MACD_At_Entry', 'Day_Of_Week_At_Entry', 'ROC14_At_Entry']","{'0.0': {'precision': 0.5222672064777328, 'recall': 0.5682819383259912, 'f1-score': 0.5443037974683544, 'support': 454.0}, '1.0': {'precision': 0.5462962962962963, 'recall': 0.5, 'f1-score': 0.5221238938053098, 'support': 472.0}, 'accuracy': 0.5334773218142549, 'macro avg': {'precision': 0.5342817513870146, 'recall': 0.5341409691629956, 'f1-score': 0.533213845636832, 'support': 926.0}, 'weighted avg': {'precision': 0.5345152954565254, 'recall': 0.5334773218142549, 'f1-score': 0.5329982742189407, 'support': 926.0}}",0.5341409691629956,"{'0.0': {'precision': 0.5010706638115632, 'recall': 0.5075921908893709, 'f1-score': 0.5043103448275861, 'support': 461.0}, '1.0': {'precision': 0.5065217391304347, 'recall': 0.5, 'f1-score': 0.5032397408207343, 'support': 466.0}, 'accuracy': 0.5037756202804746, 'macro avg': {'precision': 0.5037962014709989, 'recall': 0.5037960954446854, 'f1-score': 0.5037750428241602, 'support': 927.0}, 'weighted avg': {'precision': 0.5038109023213735, 'recall': 0.5037756202804746, 'f1-score': 0.5037721555425884, 'support': 927.0}}",0.5037960954446855
"['SMA5_At_Entry', 'SMA7_At_Entry', 'EMA5_At_Entry', 'EMA7_At_Entry', 'RSI5_At_Entry', 'RSI15_At_Entry', 'ATR5_At_Entry', 'ATR15_At_Entry', 'Stoch5_K_At_Entry', 'Stoch7_D_At_Entry', 'BB5_High_At_Entry', 'BB5_Low_At_Entry', 'BB5_MAvg_At_Entry', 'BB10_High_At_Entry', 'BB10_Low_At_Entry', 'BB10_MAvg_At_Entry', 'Open', 'High', 'Low', 'Last', 'MACD_At_Entry', 'Day_Of_Week_At_Entry', 'ROC14_At_Entry']","{'0.0': {'precision': 0.5232323232323233, 'recall': 0.5704845814977973, 'f1-score': 0.5458377239199157, 'support': 454.0}, '1.0': {'precision': 0.5475638051044084, 'recall': 0.5, 'f1-score': 0.522702104097453, 'support': 472.0}, 'accuracy': 0.5345572354211663, 'macro avg': {'precision': 0.5353980641683658, 'recall': 0.5352422907488987, 'f1-score': 0.5342699140086844, 'support': 926.0}, 'weighted avg': {'precision': 0.5356345472535157, 'recall': 0.5345572354211663, 'f1-score': 0.5340450537728288, 'support': 926.0}}",0.5352422907488986,"{'0.0': {'precision': 0.5052192066805845, 'recall': 0.5249457700650759, 'f1-score': 0.5148936170212766, 'support': 461.0}, '1.0': {'precision': 0.5111607142857143, 'recall': 0.49141630901287553, 'f1-score': 0.50109409190372, 'support': 466.0}, 'accuracy': 0.5080906148867314, 'macro avg': {'precision': 0.5081899604831495, 'recall': 0.5081810395389758, 'f1-score': 0.5079938544624982, 'support': 927.0}, 'weighted avg': {'precision': 0.5082059839664427, 'recall': 0.5080906148867314, 'f1-score': 0.5079566389147163, 'support': 927.0}}",0.5081810395389758
"['SMA5_At_Entry', 'SMA7_At_Entry', 'EMA5_At_Entry', 'EMA7_At_Entry', 'RSI5_At_Entry', 'RSI15_At_Entry', 'ATR5_At_Entry', 'ATR15_At_Entry', 'Stoch5_K_At_Entry', 'Stoch7_D_At_Entry', 'BB5_High_At_Entry', 'BB5_Low_At_Entry', 'BB5_MAvg_At_Entry', 'BB15_High_At_Entry', 'BB15_Low_At_Entry', 'BB15_MAvg_At_Entry', 'Open', 'High', 'Low', 'Last', 'MACD_At_Entry', 'Day_Of_Week_At_Entry', 'ROC14_At_Entry']","{'0.0': {'precision': 0.5197628458498024, 'recall': 0.579295154185022, 'f1-score': 0.5479166666666666, 'support': 454.0}, '1.0': {'precision': 0.5452380952380952, 'recall': 0.4851694915254237, 'f1-score': 0.5134529147982062, 'support': 472.0}, 'accuracy': 0.531317494600432, 'macro avg': {'precision': 0.5325004705439488, 'recall': 0.5322323228552228, 'f1-score': 0.5306847907324364, 'support': 926.0}, 'weighted avg': {'precision': 0.5327480701600337, 'recall': 0.531317494600432, 'f1-score': 0.5303498298611447, 'support': 926.0}}",0.5322323228552228,"{'0.0': {'precision': 0.4947589098532495, 'recall': 0.5119305856832972, 'f1-score': 0.5031982942430704, 'support': 461.0}, '1.0': {'precision': 0.5, 'recall': 0.48283261802575106, 'f1-score': 0.4912663755458515, 'support': 466.0}, 'accuracy': 0.49730312837108953, 'macro avg': {'precision': 0.4973794549266247, 'recall': 0.4973816018545241, 'f1-score': 0.49723233489446095, 'support': 927.0}, 'weighted avg': {'precision': 0.4973935894739461, 'recall': 0.49730312837108953, 'f1-score': 0.49720015604144796, 'support': 927.0}}",0.4973816018545242
"['SMA5_At_Entry', 'SMA7_At_Entry', 'EMA5_At_Entry', 'EMA7_At_Entry', 'RSI5_At_Entry', 'RSI15_At_Entry', 'ATR5_At_Entry', 'ATR15_At_Entry', 'Stoch5_K_At_Entry', 'Stoch21_D_At_Entry', 'BB5_High_At_Entry', 'BB5_Low_At_Entry', 'BB5_MAvg_At_Entry', 'BB15_High_At_Entry', 'BB15_Low_At_Entry', 'BB15_MAvg_At_Entry', 'Open', 'High', 'Low', 'Last', 'MACD_At_Entry', 'Day_Of_Week_At_Entry', 'ROC14_At_Entry']","{'0.0': {'precision': 0.5191146881287726, 'recall': 0.5682819383259912, 'f1-score': 0.5425867507886436, 'support': 454.0}, '1.0': {'precision': 0.5431235431235432, 'recall': 0.4936440677966102, 'f1-score': 0.5172031076581577, 'support': 472.0}, 'accuracy': 0.5302375809935205, 'macro avg': {'precision': 0.5311191156261579, 'recall': 0.5309630030613006, 'f1-score': 0.5298949292234006, 'support': 926.0}, 'weighted avg': {'precision': 0.5313524630289148, 'recall': 0.5302375809935205, 'f1-score': 0.5296482199489143, 'support': 926.0}}",0.5309630030613006,"{'0.0': {'precision': 0.5020408163265306, 'recall': 0.5336225596529284, 'f1-score': 0.5173501577287065, 'support': 461.0}, '1.0': {'precision': 0.5080091533180778, 'recall': 0.47639484978540775, 'f1-score': 0.4916943521594685, 'support': 466.0}, 'accuracy': 0.5048543689320388, 'macro avg': {'precision': 0.5050249848223043, 'recall': 0.505008704719168, 'f1-score': 0.5045222549440875, 'support': 927.0}, 'weighted avg': {'precision': 0.5050410806610085, 'recall': 0.5048543689320388, 'f1-score': 0.504453064529931, 'support': 927.0}}",0.5050087047191681
"['SMA5_At_Entry', 'SMA7_At_Entry', 'EMA5_At_Entry', 'EMA7_At_Entry', 'RSI5_At_Entry', 'RSI15_At_Entry', 'ATR5_At_Entry', 'ATR15_At_Entry', 'Stoch5_D_At_Entry', 'Stoch7_K_At_Entry', 'BB5_High_At_Entry', 'BB5_Low_At_Entry', 'BB5_MAvg_At_Entry', 'BB15_High_At_Entry', 'BB15_Low_At_Entry', 'BB15_MAvg_At_Entry', 'Open', 'High', 'Low', 'Last', 'MACD_At_Entry', 'Day_Of_Week_At_Entry', 'ROC14_At_Entry']","{'0.0': {'precision': 0.5239043824701195, 'recall': 0.579295154185022, 'f1-score': 0.5502092050209205, 'support': 454.0}, '1.0': {'precision': 0.5495283018867925, 'recall': 0.4936440677966102, 'f1-score': 0.5200892857142857, 'support': 472.0}, 'accuracy': 0.5356371490280778, 'macro avg': {'precision': 0.536716342178456, 'recall': 0.536469610990816, 'f1-score': 0.5351492453676031, 'support': 926.0}, 'weighted avg': {'precision': 0.5369653867516202, 'recall': 0.5356371490280778, 'f1-score': 0.5348565031713184, 'support': 926.0}}",0.536469610990816,"{'0.0': {'precision': 0.5, 'recall': 0.5314533622559653, 'f1-score': 0.5152471083070452, 'support': 461.0}, '1.0': {'precision': 0.505720823798627, 'recall': 0.4742489270386266, 'f1-score': 0.48947951273532675, 'support': 466.0}, 'accuracy': 0.5026968716289104, 'macro avg': {'precision': 0.5028604118993135, 'recall': 0.502851144647296, 'f1-score': 0.502363310521186, 'support': 927.0}, 'weighted avg': {'precision': 0.50287584022671, 'recall': 0.5026968716289104, 'f1-score': 0.5022938186237433, 'support': 927.0}}",0.5028511446472959
"['SMA5_At_Entry', 'SMA7_At_Entry', 'EMA5_At_Entry', 'EMA7_At_Entry', 'RSI5_At_Entry', 'RSI15_At_Entry', 'ATR5_At_Entry', 'ATR15_At_Entry', 'Stoch7_K_At_Entry', 'Stoch7_D_At_Entry', 'BB5_High_At_Entry', 'BB5_Low_At_Entry', 'BB5_MAvg_At_Entry', 'BB15_High_At_Entry', 'BB15_Low_At_Entry', 'BB15_MAvg_At_Entry', 'Open', 'High', 'Low', 'Last', 'MACD_At_Entry', 'Day_Of_Week_At_Entry', 'ROC14_At_Entry']","{'0.0': {'precision': 0.5213849287169042, 'recall': 0.5638766519823789, 'f1-score': 0.5417989417989417, 'support': 454.0}, '1.0': {'precision': 0.5448275862068965, 'recall': 0.5021186440677966, 'f1-score': 0.5226019845644982, 'support': 472.0}, 'accuracy': 0.5323974082073434, 'macro avg': {'precision': 0.5331062574619003, 'recall': 0.5329976480250878, 'f1-score': 0.53220046318172, 'support': 926.0}, 'weighted avg': {'precision': 0.5333341018651508, 'recall': 0.5323974082073434, 'f1-score': 0.532013883683761, 'support': 926.0}}",0.5329976480250878,"{'0.0': {'precision': 0.5073684210526316, 'recall': 0.5227765726681128, 'f1-score': 0.514957264957265, 'support': 461.0}, '1.0': {'precision': 0.5132743362831859, 'recall': 0.4978540772532189, 'f1-score': 0.5054466230936819, 'support': 466.0}, 'accuracy': 0.5102481121898598, 'macro avg': {'precision': 0.5103213786679087, 'recall': 0.5103153249606659, 'f1-score': 0.5102019440254735, 'support': 927.0}, 'weighted avg': {'precision': 0.5103373061631367, 'recall': 0.5102481121898598, 'f1-score': 0.5101762950452587, 'support': 927.0}}",0.5103153249606659
"['SMA5_At_Entry', 'SMA7_At_Entry', 'EMA5_At_Entry', 'EMA7_At_Entry', 'RSI10_At_Entry', 'RSI15_At_Entry', 'ATR5_At_Entry', 'ATR15_At_Entry', 'Stoch5_K_At_Entry', 'Stoch5_D_At_Entry', 'BB5_High_At_Entry', 'BB5_Low_At_Entry', 'BB5_MAvg_At_Entry', 'BB10_High_At_Entry', 'BB10_Low_At_Entry', 'BB10_MAvg_At_Entry', 'Open', 'High', 'Low', 'Last', 'MACD_At_Entry', 'Day_Of_Week_At_Entry', 'ROC14_At_Entry']","{'0.0': {'precision': 0.5240963855421686, 'recall': 0.5748898678414097, 'f1-score': 0.5483193277310925, 'support': 454.0}, '1.0': {'precision': 0.5490654205607477, 'recall': 0.4978813559322034, 'f1-score': 0.5222222222222223, 'support': 472.0}, 'accuracy': 0.5356371490280778, 'macro avg': {'precision': 0.5365809030514581, 'recall': 0.5363856118868066, 'f1-score': 0.5352707749766574, 'support': 926.0}, 'weighted avg': {'precision': 0.5368235826574702, 'recall': 0.5356371490280778, 'f1-score': 0.5350171314025971, 'support': 926.0}}",0.5363856118868066,"{'0.0': {'precision': 0.5010570824524313, 'recall': 0.5140997830802603, 'f1-score': 0.5074946466809422, 'support': 461.0}, '1.0': {'precision': 0.5066079295154186, 'recall': 0.49356223175965663, 'f1-score': 0.5, 'support': 466.0}, 'accuracy': 0.5037756202804746, 'macro avg': {'precision': 0.5038325059839249, 'recall': 0.5038310074199585, 'f1-score': 0.5037473233404711, 'support': 927.0}, 'weighted avg': {'precision': 0.5038474759058855, 'recall': 0.5037756202804746, 'f1-score': 0.5037271112404685, 'support': 927.0}}",0.5038310074199585
"['SMA5_At_Entry', 'SMA7_At_Entry', 'EMA5_At_Entry', 'EMA7_At_Entry', 'RSI10_At_Entry', 'RSI15_At_Entry', 'ATR5_At_Entry', 'ATR15_At_Entry', 'Stoch5_K_At_Entry', 'Stoch7_D_At_Entry', 'BB5_High_At_Entry', 'BB5_Low_At_Entry', 'BB5_MAvg_At_Entry', 'BB15_High_At_Entry', 'BB15_Low_At_Entry', 'BB15_MAvg_At_Entry', 'Open', 'High', 'Low', 'Last', 'MACD_At_Entry', 'Day_Of_Week_At_Entry', 'ROC14_At_Entry']","{'0.0': {'precision': 0.5205761316872428, 'recall': 0.5572687224669604, 'f1-score': 0.5382978723404256, 'support': 454.0}, '1.0': {'precision': 0.5431818181818182, 'recall': 0.5063559322033898, 'f1-score': 0.5241228070175438, 'support': 472.0}, 'accuracy': 0.531317494600432, 'macro avg': {'precision': 0.5318789749345305, 'recall': 0.5318123273351751, 'f1-score': 0.5312103396789847, 'support': 926.0}, 'weighted avg': {'precision': 0.532098684630482, 'recall': 0.531317494600432, 'f1-score': 0.5310725690656953, 'support': 926.0}}",0.531812327335175,"{'0.0': {'precision': 0.48414376321353064, 'recall': 0.4967462039045553, 'f1-score': 0.4903640256959315, 'support': 461.0}, '1.0': {'precision': 0.4889867841409692, 'recall': 0.47639484978540775, 'f1-score': 0.4826086956521739, 'support': 466.0}, 'accuracy': 0.48651564185544766, 'macro avg': {'precision': 0.4865652736772499, 'recall': 0.48657052684498153, 'f1-score': 0.4864863606740527, 'support': 927.0}, 'weighted avg': {'precision': 0.48657833468298733, 'recall': 0.48651564185544766, 'f1-score': 0.48646544554448484, 'support': 927.0}}",0.48657052684498153
"['SMA5_At_Entry', 'SMA7_At_Entry', 'EMA5_At_Entry', 'EMA7_At_Entry', 'RSI10_At_Entry', 'RSI15_At_Entry', 'ATR5_At_Entry', 'ATR15_At_Entry', 'Stoch5_K_At_Entry', 'Stoch21_D_At_Entry', 'BB5_High_At_Entry', 'BB5_Low_At_Entry', 'BB5_MAvg_At_Entry', 'BB15_High_At_Entry', 'BB15_Low_At_Entry', 'BB15_MAvg_At_Entry', 'Open', 'High', 'Low', 'Last', 'MACD_At_Entry', 'Day_Of_Week_At_Entry', 'ROC14_At_Entry']","{'0.0': {'precision': 0.5211267605633803, 'recall': 0.5704845814977973, 'f1-score': 0.544689800210305, 'support': 454.0}, '1.0': {'precision': 0.5454545454545454, 'recall': 0.4957627118644068, 'f1-score': 0.5194228634850167, 'support': 472.0}, 'accuracy': 0.5323974082073434, 'macro avg': {'precision': 0.5332906530089628, 'recall': 0.533123646681102, 'f1-score': 0.5320563318476608, 'support': 926.0}, 'weighted avg': {'precision': 0.5335271001623327, 'recall': 0.5323974082073434, 'f1-score': 0.5318107568686894, 'support': 926.0}}",0.5331236466811021,"{'0.0': {'precision': 0.50625, 'recall': 0.527114967462039, 'f1-score': 0.516471838469713, 'support': 461.0}, '1.0': {'precision': 0.5123042505592841, 'recall': 0.49141630901287553, 'f1-score': 0.5016429353778751, 'support': 466.0}, 'accuracy': 0.5091693635382956, 'macro avg': {'precision': 0.509277125279642, 'recall': 0.5092656382374573, 'f1-score': 0.509057386923794, 'support': 927.0}, 'weighted avg': {'precision': 0.5092934528162096, 'recall': 0.5091693635382956, 'f1-score': 0.5090173952757578, 'support': 927.0}}",0.5092656382374573
"['SMA5_At_Entry', 'SMA7_At_Entry', 'EMA5_At_Entry', 'EMA7_At_Entry', 'RSI10_At_Entry', 'RSI15_At_Entry', 'ATR5_At_Entry', 'ATR15_At_Entry', 'Stoch5_D_At_Entry', 'Stoch7_K_At_Entry', 'BB5_High_At_Entry', 'BB5_Low_At_Entry', 'BB5_MAvg_At_Entry', 'BB15_High_At_Entry', 'BB15_Low_At_Entry', 'BB15_MAvg_At_Entry', 'Open', 'High', 'Low', 'Last', 'MACD_At_Entry', 'Day_Of_Week_At_Entry', 'ROC14_At_Entry']","{'0.0': {'precision': 0.5215605749486653, 'recall': 0.5594713656387665, 'f1-score': 0.5398512221041445, 'support': 454.0}, '1.0': {'precision': 0.5444191343963554, 'recall': 0.5063559322033898, 'f1-score': 0.5246981339187706, 'support': 472.0}, 'accuracy': 0.5323974082073434, 'macro avg': {'precision': 0.5329898546725103, 'recall': 0.5329136489210782, 'f1-score': 0.5322746780114576, 'support': 926.0}, 'weighted avg': {'precision': 0.5332120220969478, 'recall': 0.5323974082073434, 'f1-score': 0.5321274017763945, 'support': 926.0}}",0.5329136489210782,"{'0.0': {'precision': 0.504149377593361, 'recall': 0.527114967462039, 'f1-score': 0.5153764581124072, 'support': 461.0}, '1.0': {'precision': 0.5101123595505618, 'recall': 0.4871244635193133, 'f1-score': 0.49835345773874856, 'support': 466.0}, 'accuracy': 0.5070118662351673, 'macro avg': {'precision': 0.5071308685719613, 'recall': 0.5071197154906761, 'f1-score': 0.5068649579255778, 'support': 927.0}, 'weighted avg': {'precision': 0.5071469499688255, 'recall': 0.5070118662351673, 'f1-score': 0.5068190490788312, 'support': 927.0}}",0.5071197154906761
